date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:42	4015/4015	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2005:57:10%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/swiggy-logo.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/swiggy-logo.png	(from https://motimahaldelux.in/)
22:55:43	7175637/7175637	---M--	200	added ('OK')	application/pdf	date:Tue,%2019%20Feb%202019%2018:58:34%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/indian_chinese_food_menu.pdf	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/indian_chinese_food_menu.pdf	(from https://motimahaldelux.in/)
22:55:43	35104/35104	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:42%20GMT	https://motimahaldelux.in/team/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/team/index.html	(from https://motimahaldelux.in/)
22:55:43	3962/3962	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2005:57:10%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/foodpanda-logo.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/foodpanda-logo.png	(from https://motimahaldelux.in/)
22:55:43	3937/3937	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2005:57:10%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/zomato-logo.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/zomato-logo.png	(from https://motimahaldelux.in/)
22:55:44	1156/1156	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2006:16:00%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/images/back-top-icon.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/images/back-top-icon.png	(from https://motimahaldelux.in/)
22:55:44	31894/31894	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:43%20GMT	https://motimahaldelux.in/terms-and-conditions/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/terms-and-conditions/index.html	(from https://motimahaldelux.in/)
22:55:44	31642/31642	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:43%20GMT	https://motimahaldelux.in/privacy-policy/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/privacy-policy/index.html	(from https://motimahaldelux.in/)
22:55:44	72805/72805	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/lodash.min.js?ver=4.17.21	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/lodash.mind1d1.js	(from https://motimahaldelux.in/)
22:55:45	34581/34581	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:44%20GMT	https://motimahaldelux.in/sitemap/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/sitemap/index.html	(from https://motimahaldelux.in/)
22:55:45	99310/99310	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=7.4.4	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill.min89b1.js	(from https://motimahaldelux.in/)
22:55:45	7908/7908	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-fetch.min.js?ver=3.0.0	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-fetch.min6e0e.js	(from https://motimahaldelux.in/)
22:55:46	353/353	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-node-contains.min.js?ver=3.42.0	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-node-contains.min2e00.js	(from https://motimahaldelux.in/)
22:55:46	867/867	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-dom-rect.min.js?ver=3.42.0	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-dom-rect.min2e00.js	(from https://motimahaldelux.in/)
22:55:46	47085/47085	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-url.min.js?ver=3.6.4	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-url.min5aed.js	(from https://motimahaldelux.in/)
22:55:47	7165/7165	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-formdata.min.js?ver=3.0.12	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-formdata.mine9bd.js	(from https://motimahaldelux.in/)
22:55:47	417/417	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-element-closest.min.js?ver=2.0.2	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-element-closest.min4c56.js	(from https://motimahaldelux.in/)
22:55:47	2978/2978	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-object-fit.min.js?ver=2.3.4	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/wp-polyfill-object-fit.min531b.js	(from https://motimahaldelux.in/)
22:55:48	12463/12463	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Apr%202021%2010:32:31%20GMT	https://motimahaldelux.in/wp-includes/js/dist/vendor/react.min.js?ver=16.13.1	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/vendor/react.mincd00.js	(from https://motimahaldelux.in/)
22:55:48	6979/6979	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/hooks.min.js?ver=d0188aa6c336f8bb426fe5318b7f5b72	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/hooks.minc5c2.js	(from https://motimahaldelux.in/)
22:55:48	10198/10198	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/i18n.min.js?ver=6ae7d829c963a7d8856558f3f9b32b43	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/i18n.min802d.js	(from https://motimahaldelux.in/)
22:55:49	8759/8759	---M--	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202022%2010:16:54%20GMT	https://motimahaldelux.in/wp-includes/js/dist/url.min.js?ver=7c99a9585caad6f2f16c19ecd17a86cd	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/url.min7657.js	(from https://motimahaldelux.in/)
22:55:49	12365/12365	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/api-fetch.min.js?ver=25cbf3644d200bdc5cab50e7966b5b03	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/api-fetch.minaef8.js	(from https://motimahaldelux.in/)
22:55:49	1225/1225	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/dom-ready.min.js?ver=93db39f6fe07a70cb9217310bec0a531	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/dom-ready.mine02e.js	(from https://motimahaldelux.in/)
22:55:50	3057/3057	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/a11y.min.js?ver=f38c4dee80fd4bb43131247e3175c99a	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/a11y.minacbb.js	(from https://motimahaldelux.in/)
22:55:50	1575/1575	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/blob.min.js?ver=125149076a58ec206a0a8ed2cf6b6894	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/blob.min3e25.js	(from https://motimahaldelux.in/)
22:55:50	7863/7863	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/autop.min.js?ver=e34d2621e1f0dad60385333bd1afd228	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/autop.min7b21.js	(from https://motimahaldelux.in/)
22:55:51	4516/4516	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/block-serialization-default-parser.min.js?ver=49f93b714dba02a24a589dd1bf6e26d5	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/block-serialization-default-parser.min9f1f.js	(from https://motimahaldelux.in/)
22:55:51	1687/1687	---M--	200	added ('OK')	application/javascript	date:Thu,%2009%20Sep%202021%2009:58:25%20GMT	https://motimahaldelux.in/wp-includes/js/dist/deprecated.min.js?ver=966b6f48decfe4da2e34988c86b041a2	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/js/dist/deprecated.min8147.js	(from https://motimahaldelux.in/)
